avg_reward -0.28637310986824305 loss 0
avg_reward -0.2581002553787501 loss 0
avg_reward 0.12595524993576482 loss 0
avg_reward 0.17129045290505152 loss 0
avg_reward 0.1485604555655178 loss 0
avg_reward 0.37412768170716865 loss 0
avg_reward 0.05907896311539046 loss 0
avg_reward 0.05672516397892893 loss 0
avg_reward 0.09218782353439327 loss 0
avg_reward 0.13701612037929548 loss 0
avg_reward 0.05261313314713581 loss tensor(0.0717, grad_fn=<MeanBackward0>)
avg_reward 0.04025697231366724 loss tensor(0.0788, grad_fn=<MeanBackward0>)
avg_reward 0.18159828680983858 loss tensor(0.0740, grad_fn=<MeanBackward0>)
avg_reward -0.2716956910435855 loss tensor(0.0809, grad_fn=<MeanBackward0>)
avg_reward 0.024862498676934096 loss tensor(0.0923, grad_fn=<MeanBackward0>)
avg_reward 0.08716054880600005 loss tensor(0.0790, grad_fn=<MeanBackward0>)
avg_reward 0.0570727464087136 loss tensor(0.1061, grad_fn=<MeanBackward0>)
avg_reward 0.19068803061194445 loss tensor(0.0777, grad_fn=<MeanBackward0>)
avg_reward -0.3444582100095528 loss tensor(0.0742, grad_fn=<MeanBackward0>)
avg_reward -0.1153033213234599 loss tensor(0.1069, grad_fn=<MeanBackward0>)
avg_reward 0.04228641820005935 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward -0.17194366171093725 loss tensor(0.1029, grad_fn=<MeanBackward0>)
avg_reward 0.11426381360418998 loss tensor(0.0886, grad_fn=<MeanBackward0>)
avg_reward -0.1787847440738801 loss tensor(0.0739, grad_fn=<MeanBackward0>)
avg_reward -0.08320457440078488 loss tensor(0.0504, grad_fn=<MeanBackward0>)
avg_reward 0.13878449805874724 loss tensor(0.1138, grad_fn=<MeanBackward0>)
avg_reward -0.09040076314447236 loss tensor(0.0747, grad_fn=<MeanBackward0>)
avg_reward 0.19253627892044214 loss tensor(0.0902, grad_fn=<MeanBackward0>)
avg_reward -0.37773905458820606 loss tensor(0.0924, grad_fn=<MeanBackward0>)
avg_reward -0.21429691957827118 loss tensor(0.0820, grad_fn=<MeanBackward0>)
avg_reward 0.2240862946835169 loss tensor(0.0972, grad_fn=<MeanBackward0>)
avg_reward 0.08244239839252915 loss tensor(0.1129, grad_fn=<MeanBackward0>)
avg_reward 0.3318413800736012 loss tensor(0.0545, grad_fn=<MeanBackward0>)
avg_reward -0.3008881614377673 loss tensor(0.0846, grad_fn=<MeanBackward0>)
avg_reward -0.14054135840741855 loss tensor(0.0654, grad_fn=<MeanBackward0>)
avg_reward 0.04000004132219152 loss tensor(0.0828, grad_fn=<MeanBackward0>)
avg_reward -0.12534659900068598 loss tensor(0.1359, grad_fn=<MeanBackward0>)
avg_reward 0.14784604501920826 loss tensor(0.0828, grad_fn=<MeanBackward0>)
avg_reward -0.270148766435379 loss tensor(0.0797, grad_fn=<MeanBackward0>)
avg_reward -0.13606399672956598 loss tensor(0.0877, grad_fn=<MeanBackward0>)
avg_reward 0.09711924807105944 loss tensor(0.0858, grad_fn=<MeanBackward0>)
avg_reward 0.061469285196410886 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward -0.15917744909335424 loss tensor(0.0529, grad_fn=<MeanBackward0>)
avg_reward -0.523350325711383 loss tensor(0.1005, grad_fn=<MeanBackward0>)
avg_reward -0.15049057278686734 loss tensor(0.0864, grad_fn=<MeanBackward0>)
avg_reward 0.07640516798790511 loss tensor(0.0773, grad_fn=<MeanBackward0>)
avg_reward 0.09437216943361376 loss tensor(0.0900, grad_fn=<MeanBackward0>)
avg_reward 0.16457665075134187 loss tensor(0.0716, grad_fn=<MeanBackward0>)
avg_reward -0.31557369808360247 loss tensor(0.0828, grad_fn=<MeanBackward0>)
avg_reward -0.07978904928075659 loss tensor(0.1103, grad_fn=<MeanBackward0>)
avg_reward 0.05026308498196226 loss tensor(0.0721, grad_fn=<MeanBackward0>)
avg_reward 0.11675181387561202 loss tensor(0.0743, grad_fn=<MeanBackward0>)
avg_reward 0.11903394107134338 loss tensor(0.0752, grad_fn=<MeanBackward0>)
avg_reward -0.26523126541211917 loss tensor(0.0892, grad_fn=<MeanBackward0>)
avg_reward -0.13578159395129777 loss tensor(0.0657, grad_fn=<MeanBackward0>)
avg_reward 0.30288432111428626 loss tensor(0.0813, grad_fn=<MeanBackward0>)
avg_reward 0.024169792069928944 loss tensor(0.0749, grad_fn=<MeanBackward0>)
avg_reward 0.13140697526763762 loss tensor(0.0803, grad_fn=<MeanBackward0>)
avg_reward -0.13900900290055138 loss tensor(0.1025, grad_fn=<MeanBackward0>)
avg_reward -0.2385389092507227 loss tensor(0.0956, grad_fn=<MeanBackward0>)
avg_reward 0.2687995278196483 loss tensor(0.0855, grad_fn=<MeanBackward0>)
avg_reward -0.19950990113456793 loss tensor(0.0815, grad_fn=<MeanBackward0>)
avg_reward -0.01760116533813917 loss tensor(0.0956, grad_fn=<MeanBackward0>)
avg_reward -0.46169299696278676 loss tensor(0.0684, grad_fn=<MeanBackward0>)
avg_reward -0.028200439712302298 loss tensor(0.0773, grad_fn=<MeanBackward0>)
avg_reward 0.14780352082417939 loss tensor(0.0845, grad_fn=<MeanBackward0>)
avg_reward -0.06417276088781709 loss tensor(0.0990, grad_fn=<MeanBackward0>)
avg_reward 0.3248498883214625 loss tensor(0.1129, grad_fn=<MeanBackward0>)
avg_reward -0.40576762666196986 loss tensor(0.0783, grad_fn=<MeanBackward0>)
avg_reward -0.005027438076742934 loss tensor(0.0674, grad_fn=<MeanBackward0>)
avg_reward 0.2557503664697483 loss tensor(0.0753, grad_fn=<MeanBackward0>)
avg_reward 0.11518594771100603 loss tensor(0.0739, grad_fn=<MeanBackward0>)
avg_reward 0.27451637767344544 loss tensor(0.0776, grad_fn=<MeanBackward0>)
avg_reward -0.33237977012981723 loss tensor(0.0893, grad_fn=<MeanBackward0>)
avg_reward -0.04156107419790055 loss tensor(0.0909, grad_fn=<MeanBackward0>)
avg_reward -0.07664425183690741 loss tensor(0.0676, grad_fn=<MeanBackward0>)
avg_reward 0.16847105924427325 loss tensor(0.0740, grad_fn=<MeanBackward0>)
avg_reward 0.17526479568349085 loss tensor(0.0798, grad_fn=<MeanBackward0>)
avg_reward -0.03542677802020454 loss tensor(0.0718, grad_fn=<MeanBackward0>)
avg_reward -0.15620896753918964 loss tensor(0.0802, grad_fn=<MeanBackward0>)
avg_reward -0.09395444369182565 loss tensor(0.0661, grad_fn=<MeanBackward0>)
avg_reward 0.01951919769465438 loss tensor(0.0844, grad_fn=<MeanBackward0>)
avg_reward -0.26504091200914776 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward -0.015769401760695346 loss tensor(0.0821, grad_fn=<MeanBackward0>)
avg_reward 0.1658942886829305 loss tensor(0.0786, grad_fn=<MeanBackward0>)
avg_reward 0.2375471252394383 loss tensor(0.0694, grad_fn=<MeanBackward0>)
avg_reward 0.23475804716206788 loss tensor(0.1109, grad_fn=<MeanBackward0>)
avg_reward -0.5458252554056425 loss tensor(0.0885, grad_fn=<MeanBackward0>)
avg_reward 0.08395888120951873 loss tensor(0.0585, grad_fn=<MeanBackward0>)
avg_reward -0.016417655548348332 loss tensor(0.0953, grad_fn=<MeanBackward0>)
avg_reward 0.12083812136479351 loss tensor(0.0920, grad_fn=<MeanBackward0>)
avg_reward 0.21635315999134785 loss tensor(0.0965, grad_fn=<MeanBackward0>)
avg_reward -0.3862834782005663 loss tensor(0.0750, grad_fn=<MeanBackward0>)
avg_reward -0.009474396420503944 loss tensor(0.0848, grad_fn=<MeanBackward0>)
avg_reward -0.22722553916878063 loss tensor(0.0655, grad_fn=<MeanBackward0>)
avg_reward 0.22758372589605805 loss tensor(0.0757, grad_fn=<MeanBackward0>)
avg_reward -0.10821260835618218 loss tensor(0.0648, grad_fn=<MeanBackward0>)
avg_reward 0.08988180130258767 loss tensor(0.0926, grad_fn=<MeanBackward0>)
avg_reward 0.13835531033035864 loss tensor(0.0641, grad_fn=<MeanBackward0>)
avg_reward 0.1693622681499149 loss tensor(0.0690, grad_fn=<MeanBackward0>)
avg_reward -0.06914369569882871 loss tensor(0.0782, grad_fn=<MeanBackward0>)
avg_reward -0.5065553366348431 loss tensor(0.1337, grad_fn=<MeanBackward0>)
avg_reward 0.016223752182679543 loss tensor(0.0709, grad_fn=<MeanBackward0>)
avg_reward 0.23886459334769342 loss tensor(0.0648, grad_fn=<MeanBackward0>)
avg_reward 0.15986640558264958 loss tensor(0.0716, grad_fn=<MeanBackward0>)
avg_reward 0.21879718959650898 loss tensor(0.0836, grad_fn=<MeanBackward0>)
avg_reward -0.4024424720758734 loss tensor(0.0941, grad_fn=<MeanBackward0>)
avg_reward -0.004708661903829142 loss tensor(0.0743, grad_fn=<MeanBackward0>)
avg_reward -0.06333895883731631 loss tensor(0.0906, grad_fn=<MeanBackward0>)
avg_reward 0.31735471433466056 loss tensor(0.0755, grad_fn=<MeanBackward0>)
avg_reward -0.19127724087699385 loss tensor(0.0621, grad_fn=<MeanBackward0>)
avg_reward -0.35309317431920795 loss tensor(0.0927, grad_fn=<MeanBackward0>)
avg_reward 0.03217203263344773 loss tensor(0.0729, grad_fn=<MeanBackward0>)
avg_reward -0.1982554135350627 loss tensor(0.0798, grad_fn=<MeanBackward0>)
avg_reward 0.11389650870899479 loss tensor(0.0748, grad_fn=<MeanBackward0>)
avg_reward -0.22958738527712277 loss tensor(0.0956, grad_fn=<MeanBackward0>)
avg_reward -0.3968604380205085 loss tensor(0.0661, grad_fn=<MeanBackward0>)
avg_reward -0.0013931809027260388 loss tensor(0.0841, grad_fn=<MeanBackward0>)
avg_reward 0.2538457199168072 loss tensor(0.0839, grad_fn=<MeanBackward0>)
avg_reward 0.17150374715792704 loss tensor(0.0762, grad_fn=<MeanBackward0>)
avg_reward -0.09790227078834579 loss tensor(0.0719, grad_fn=<MeanBackward0>)
avg_reward -0.34928694429402607 loss tensor(0.0818, grad_fn=<MeanBackward0>)
avg_reward 0.045408995217512384 loss tensor(0.0688, grad_fn=<MeanBackward0>)
avg_reward 0.18967728017514304 loss tensor(0.0772, grad_fn=<MeanBackward0>)
avg_reward 0.15631637687770894 loss tensor(0.0781, grad_fn=<MeanBackward0>)
avg_reward 0.23598222133375527 loss tensor(0.0905, grad_fn=<MeanBackward0>)
avg_reward -0.35455156050509484 loss tensor(0.0823, grad_fn=<MeanBackward0>)
avg_reward 0.13383259049409735 loss tensor(0.0523, grad_fn=<MeanBackward0>)
avg_reward 0.21639053453229132 loss tensor(0.0804, grad_fn=<MeanBackward0>)
avg_reward 0.2884667248593647 loss tensor(0.0883, grad_fn=<MeanBackward0>)
avg_reward 0.012071740747905076 loss tensor(0.1232, grad_fn=<MeanBackward0>)
avg_reward -0.32636392939439385 loss tensor(0.0677, grad_fn=<MeanBackward0>)
avg_reward 0.08722520665579672 loss tensor(0.0663, grad_fn=<MeanBackward0>)
avg_reward -0.17604153088239904 loss tensor(0.0721, grad_fn=<MeanBackward0>)
avg_reward -0.07376524020384342 loss tensor(0.1169, grad_fn=<MeanBackward0>)
avg_reward -0.08779144070415938 loss tensor(0.0759, grad_fn=<MeanBackward0>)
avg_reward -0.5296133650481947 loss tensor(0.1021, grad_fn=<MeanBackward0>)
avg_reward 0.0007406750855826582 loss tensor(0.1058, grad_fn=<MeanBackward0>)
avg_reward 0.1420643131718102 loss tensor(0.0740, grad_fn=<MeanBackward0>)
avg_reward 0.31725266988246664 loss tensor(0.0833, grad_fn=<MeanBackward0>)
avg_reward 0.009248167053941672 loss tensor(0.0732, grad_fn=<MeanBackward0>)
avg_reward -0.03569466466429192 loss tensor(0.0807, grad_fn=<MeanBackward0>)
avg_reward 0.03854125635938197 loss tensor(0.0649, grad_fn=<MeanBackward0>)
avg_reward 0.08609337081052675 loss tensor(0.0721, grad_fn=<MeanBackward0>)
avg_reward -0.17832143815669366 loss tensor(0.0735, grad_fn=<MeanBackward0>)
avg_reward -0.15345684157227116 loss tensor(0.0840, grad_fn=<MeanBackward0>)
avg_reward -0.0433222631797668 loss tensor(0.0912, grad_fn=<MeanBackward0>)
avg_reward 0.18020253459400995 loss tensor(0.0673, grad_fn=<MeanBackward0>)
avg_reward 0.005400725774145327 loss tensor(0.0615, grad_fn=<MeanBackward0>)
avg_reward 0.22320108873613598 loss tensor(0.0943, grad_fn=<MeanBackward0>)
avg_reward -0.20544306942604895 loss tensor(0.0758, grad_fn=<MeanBackward0>)
avg_reward 0.118812428044421 loss tensor(0.0698, grad_fn=<MeanBackward0>)
avg_reward -0.04620883017716393 loss tensor(0.0556, grad_fn=<MeanBackward0>)
avg_reward 0.1567246779828958 loss tensor(0.0702, grad_fn=<MeanBackward0>)
avg_reward 0.1007533270015157 loss tensor(0.0917, grad_fn=<MeanBackward0>)
avg_reward -0.15592085028751806 loss tensor(0.0592, grad_fn=<MeanBackward0>)
avg_reward 0.10137283185048672 loss tensor(0.0753, grad_fn=<MeanBackward0>)
avg_reward 0.0772636392972441 loss tensor(0.0780, grad_fn=<MeanBackward0>)
avg_reward 0.51216638623772 loss tensor(0.0670, grad_fn=<MeanBackward0>)
avg_reward -0.19435500539053716 loss tensor(0.0810, grad_fn=<MeanBackward0>)
avg_reward -0.05546883392250277 loss tensor(0.1103, grad_fn=<MeanBackward0>)
avg_reward 0.09243871385783457 loss tensor(0.0679, grad_fn=<MeanBackward0>)
avg_reward -0.0141811960688743 loss tensor(0.0865, grad_fn=<MeanBackward0>)
avg_reward -0.1984954039156049 loss tensor(0.0721, grad_fn=<MeanBackward0>)
avg_reward 0.15354946049303606 loss tensor(0.0873, grad_fn=<MeanBackward0>)
avg_reward -0.06749902758928368 loss tensor(0.1017, grad_fn=<MeanBackward0>)
avg_reward 0.17535505321433167 loss tensor(0.0685, grad_fn=<MeanBackward0>)
avg_reward 0.1441029403851716 loss tensor(0.0733, grad_fn=<MeanBackward0>)
avg_reward -0.12925236436839904 loss tensor(0.0866, grad_fn=<MeanBackward0>)
avg_reward -0.1278337076039167 loss tensor(0.0623, grad_fn=<MeanBackward0>)
avg_reward 0.09182358950874914 loss tensor(0.0847, grad_fn=<MeanBackward0>)
avg_reward 0.20614150269385875 loss tensor(0.0978, grad_fn=<MeanBackward0>)
avg_reward -0.10047941654068707 loss tensor(0.0685, grad_fn=<MeanBackward0>)
avg_reward -0.1175907087353453 loss tensor(0.0569, grad_fn=<MeanBackward0>)
avg_reward -0.07745853218678249 loss tensor(0.0791, grad_fn=<MeanBackward0>)
avg_reward -0.04375173214211862 loss tensor(0.0850, grad_fn=<MeanBackward0>)
avg_reward -0.04530707119858334 loss tensor(0.0720, grad_fn=<MeanBackward0>)
avg_reward -0.3592643962825404 loss tensor(0.0823, grad_fn=<MeanBackward0>)
avg_reward 0.10163072221607183 loss tensor(0.0808, grad_fn=<MeanBackward0>)
avg_reward 0.003638678038826688 loss tensor(0.0880, grad_fn=<MeanBackward0>)
avg_reward 0.09643078627510297 loss tensor(0.0750, grad_fn=<MeanBackward0>)
avg_reward -0.349708410758225 loss tensor(0.0932, grad_fn=<MeanBackward0>)
avg_reward 0.271511836205065 loss tensor(0.0779, grad_fn=<MeanBackward0>)
avg_reward -0.27522433726192674 loss tensor(0.0767, grad_fn=<MeanBackward0>)
avg_reward -0.13058373512772323 loss tensor(0.0899, grad_fn=<MeanBackward0>)
avg_reward 0.04641904419664686 loss tensor(0.0970, grad_fn=<MeanBackward0>)
avg_reward -0.14536971464604373 loss tensor(0.0752, grad_fn=<MeanBackward0>)
avg_reward 0.0458244764594661 loss tensor(0.1206, grad_fn=<MeanBackward0>)
avg_reward 0.21161857435960524 loss tensor(0.0825, grad_fn=<MeanBackward0>)
avg_reward 0.13409300825490925 loss tensor(0.1191, grad_fn=<MeanBackward0>)
avg_reward 0.10297407596882266 loss tensor(0.0698, grad_fn=<MeanBackward0>)
avg_reward 0.016620836616817684 loss tensor(0.0772, grad_fn=<MeanBackward0>)
avg_reward 0.12213190338001353 loss tensor(0.0695, grad_fn=<MeanBackward0>)
avg_reward -0.022500407204911817 loss tensor(0.0668, grad_fn=<MeanBackward0>)
avg_reward -0.0051291425270182205 loss tensor(0.0794, grad_fn=<MeanBackward0>)
avg_reward -0.20711337625734186 loss tensor(0.1015, grad_fn=<MeanBackward0>)
avg_reward 0.10376434734997533 loss tensor(0.0869, grad_fn=<MeanBackward0>)
avg_reward -0.20116269952570087 loss tensor(0.0646, grad_fn=<MeanBackward0>)
avg_reward 0.03998730407939713 loss tensor(0.0593, grad_fn=<MeanBackward0>)
avg_reward 0.08826306674457482 loss tensor(0.0788, grad_fn=<MeanBackward0>)
avg_reward -0.04927809539703443 loss tensor(0.1082, grad_fn=<MeanBackward0>)
avg_reward 0.04478866272307649 loss tensor(0.0605, grad_fn=<MeanBackward0>)
avg_reward 0.03153907274441425 loss tensor(0.0815, grad_fn=<MeanBackward0>)
avg_reward 0.17397212352614702 loss tensor(0.0771, grad_fn=<MeanBackward0>)
avg_reward 0.1661974554466039 loss tensor(0.0472, grad_fn=<MeanBackward0>)
avg_reward -0.024908203230812824 loss tensor(0.0688, grad_fn=<MeanBackward0>)
avg_reward -0.33273561883601993 loss tensor(0.0687, grad_fn=<MeanBackward0>)
avg_reward 0.18806335262484744 loss tensor(0.0635, grad_fn=<MeanBackward0>)
avg_reward 0.09606993576668041 loss tensor(0.0755, grad_fn=<MeanBackward0>)
avg_reward 0.01142652017449159 loss tensor(0.0770, grad_fn=<MeanBackward0>)
avg_reward 0.059218565536520294 loss tensor(0.0567, grad_fn=<MeanBackward0>)
avg_reward 0.016749527791792312 loss tensor(0.0684, grad_fn=<MeanBackward0>)
avg_reward 0.1983487623173697 loss tensor(0.0684, grad_fn=<MeanBackward0>)
avg_reward 0.1159287203108645 loss tensor(0.0652, grad_fn=<MeanBackward0>)
avg_reward -0.01905068258448768 loss tensor(0.0507, grad_fn=<MeanBackward0>)
avg_reward 0.12813523139381905 loss tensor(0.0698, grad_fn=<MeanBackward0>)
avg_reward -0.04963377101879598 loss tensor(0.0952, grad_fn=<MeanBackward0>)
avg_reward 0.045157050382602176 loss tensor(0.0667, grad_fn=<MeanBackward0>)
avg_reward -0.000418966626623265 loss tensor(0.0531, grad_fn=<MeanBackward0>)
avg_reward -0.23265608472733523 loss tensor(0.0859, grad_fn=<MeanBackward0>)
avg_reward -0.10587362022913739 loss tensor(0.0930, grad_fn=<MeanBackward0>)
avg_reward 0.09764533436084974 loss tensor(0.0711, grad_fn=<MeanBackward0>)
avg_reward 0.07257179115244211 loss tensor(0.0567, grad_fn=<MeanBackward0>)
avg_reward -0.028962588352566855 loss tensor(0.0834, grad_fn=<MeanBackward0>)
avg_reward 0.05800564272901929 loss tensor(0.0682, grad_fn=<MeanBackward0>)
avg_reward -0.05946776660292887 loss tensor(0.0822, grad_fn=<MeanBackward0>)
avg_reward 0.18291289127341487 loss tensor(0.0717, grad_fn=<MeanBackward0>)
avg_reward 0.13942449040622873 loss tensor(0.0631, grad_fn=<MeanBackward0>)
avg_reward -0.162307965779685 loss tensor(0.0664, grad_fn=<MeanBackward0>)
avg_reward 0.0668644192218387 loss tensor(0.0599, grad_fn=<MeanBackward0>)
avg_reward -0.18738529243362428 loss tensor(0.0605, grad_fn=<MeanBackward0>)
avg_reward -0.03877469899434625 loss tensor(0.1041, grad_fn=<MeanBackward0>)
avg_reward -0.03089593744687607 loss tensor(0.0658, grad_fn=<MeanBackward0>)
avg_reward -0.18130951163889775 loss tensor(0.0711, grad_fn=<MeanBackward0>)
avg_reward -0.11219412140727336 loss tensor(0.0609, grad_fn=<MeanBackward0>)
avg_reward -0.2243442879424139 loss tensor(0.0677, grad_fn=<MeanBackward0>)
avg_reward 0.15244466864636996 loss tensor(0.0689, grad_fn=<MeanBackward0>)
avg_reward -0.020634784925398657 loss tensor(0.0645, grad_fn=<MeanBackward0>)
avg_reward 0.1241312979708664 loss tensor(0.0707, grad_fn=<MeanBackward0>)
avg_reward -0.1591872379220713 loss tensor(0.0876, grad_fn=<MeanBackward0>)
avg_reward -0.15243462085235826 loss tensor(0.0779, grad_fn=<MeanBackward0>)
avg_reward 0.014427959533157382 loss tensor(0.0595, grad_fn=<MeanBackward0>)
avg_reward -0.30389883871167284 loss tensor(0.0679, grad_fn=<MeanBackward0>)
avg_reward 0.09128391233803274 loss tensor(0.0879, grad_fn=<MeanBackward0>)
avg_reward -0.21902107153929046 loss tensor(0.0652, grad_fn=<MeanBackward0>)
avg_reward -0.00928339740282657 loss tensor(0.0709, grad_fn=<MeanBackward0>)
avg_reward 0.05911318828210267 loss tensor(0.0948, grad_fn=<MeanBackward0>)
avg_reward -0.12302685821645204 loss tensor(0.0823, grad_fn=<MeanBackward0>)
avg_reward -0.09123650386208722 loss tensor(0.0797, grad_fn=<MeanBackward0>)
avg_reward -0.18847706344246398 loss tensor(0.0759, grad_fn=<MeanBackward0>)
avg_reward 0.13470291690910743 loss tensor(0.0924, grad_fn=<MeanBackward0>)
avg_reward -0.17858128089899644 loss tensor(0.0748, grad_fn=<MeanBackward0>)
avg_reward 0.1303839898757462 loss tensor(0.0777, grad_fn=<MeanBackward0>)
avg_reward 0.0948102164788762 loss tensor(0.0656, grad_fn=<MeanBackward0>)
avg_reward -0.006433062629099893 loss tensor(0.0637, grad_fn=<MeanBackward0>)
avg_reward -0.07136263947431572 loss tensor(0.0631, grad_fn=<MeanBackward0>)
avg_reward 0.0681083499134716 loss tensor(0.0578, grad_fn=<MeanBackward0>)
avg_reward 0.07327729340981039 loss tensor(0.0543, grad_fn=<MeanBackward0>)
avg_reward 0.09937820762640648 loss tensor(0.0683, grad_fn=<MeanBackward0>)
avg_reward 0.08950263240152231 loss tensor(0.0882, grad_fn=<MeanBackward0>)
avg_reward 0.20190990433842443 loss tensor(0.0601, grad_fn=<MeanBackward0>)
avg_reward 0.10164592257662443 loss tensor(0.0964, grad_fn=<MeanBackward0>)
avg_reward 0.01910326501369396 loss tensor(0.0743, grad_fn=<MeanBackward0>)
avg_reward 0.15889961336490288 loss tensor(0.0710, grad_fn=<MeanBackward0>)
avg_reward -0.001977395736726886 loss tensor(0.1150, grad_fn=<MeanBackward0>)
avg_reward -0.1170293364353008 loss tensor(0.0638, grad_fn=<MeanBackward0>)
avg_reward -0.1530315606051165 loss tensor(0.0739, grad_fn=<MeanBackward0>)
avg_reward 0.04174768490534807 loss tensor(0.0635, grad_fn=<MeanBackward0>)
avg_reward 0.03973104073464181 loss tensor(0.0621, grad_fn=<MeanBackward0>)
avg_reward 0.01818156726328165 loss tensor(0.0832, grad_fn=<MeanBackward0>)
avg_reward 0.0777855790488598 loss tensor(0.0808, grad_fn=<MeanBackward0>)
avg_reward -0.007480742563712186 loss tensor(0.0713, grad_fn=<MeanBackward0>)
avg_reward 0.08425438500795482 loss tensor(0.0708, grad_fn=<MeanBackward0>)
avg_reward -0.15981088115281136 loss tensor(0.0718, grad_fn=<MeanBackward0>)
avg_reward -0.04866388391469132 loss tensor(0.0659, grad_fn=<MeanBackward0>)
avg_reward 0.19272346937930812 loss tensor(0.0773, grad_fn=<MeanBackward0>)
avg_reward 0.009112399467014374 loss tensor(0.0933, grad_fn=<MeanBackward0>)
avg_reward -0.2311470822270593 loss tensor(0.0823, grad_fn=<MeanBackward0>)
avg_reward 0.11053860368883943 loss tensor(0.0740, grad_fn=<MeanBackward0>)
avg_reward 0.08786733978417675 loss tensor(0.0966, grad_fn=<MeanBackward0>)
avg_reward 0.17058126110356164 loss tensor(0.0822, grad_fn=<MeanBackward0>)
avg_reward -0.04705729618337206 loss tensor(0.1144, grad_fn=<MeanBackward0>)
avg_reward -0.3008583281159327 loss tensor(0.0634, grad_fn=<MeanBackward0>)
avg_reward 0.24139712888828097 loss tensor(0.1080, grad_fn=<MeanBackward0>)
avg_reward 0.061262422645858516 loss tensor(0.1291, grad_fn=<MeanBackward0>)
avg_reward -0.05064501635794683 loss tensor(0.0726, grad_fn=<MeanBackward0>)
avg_reward 0.07562940298852619 loss tensor(0.0783, grad_fn=<MeanBackward0>)
avg_reward -0.3231075353458687 loss tensor(0.0761, grad_fn=<MeanBackward0>)
avg_reward 0.1301874776007789 loss tensor(0.0704, grad_fn=<MeanBackward0>)
avg_reward -0.04139805448110647 loss tensor(0.0757, grad_fn=<MeanBackward0>)
avg_reward 0.10154812837954197 loss tensor(0.0746, grad_fn=<MeanBackward0>)
avg_reward 0.09321345778891223 loss tensor(0.0719, grad_fn=<MeanBackward0>)
avg_reward -0.18065189609418802 loss tensor(0.0768, grad_fn=<MeanBackward0>)
avg_reward 0.1300063339137806 loss tensor(0.0765, grad_fn=<MeanBackward0>)
avg_reward 0.1697720695079678 loss tensor(0.0626, grad_fn=<MeanBackward0>)
avg_reward -0.06136137736412513 loss tensor(0.0808, grad_fn=<MeanBackward0>)
avg_reward -0.3434960087770235 loss tensor(0.0784, grad_fn=<MeanBackward0>)
avg_reward 0.03540358833765321 loss tensor(0.0858, grad_fn=<MeanBackward0>)
avg_reward 0.23238862195708357 loss tensor(0.0764, grad_fn=<MeanBackward0>)
avg_reward -0.01206269862544618 loss tensor(0.0719, grad_fn=<MeanBackward0>)
avg_reward -0.17197143605307552 loss tensor(0.0789, grad_fn=<MeanBackward0>)
avg_reward -0.19948711138826666 loss tensor(0.0942, grad_fn=<MeanBackward0>)
avg_reward 0.06838441233143562 loss tensor(0.0782, grad_fn=<MeanBackward0>)
avg_reward -0.08542305738163286 loss tensor(0.0897, grad_fn=<MeanBackward0>)
avg_reward 0.24628577501080356 loss tensor(0.0705, grad_fn=<MeanBackward0>)
avg_reward -0.039610273655111154 loss tensor(0.0909, grad_fn=<MeanBackward0>)
avg_reward 0.02626384828775624 loss tensor(0.0787, grad_fn=<MeanBackward0>)
avg_reward -0.18474199800482768 loss tensor(0.0747, grad_fn=<MeanBackward0>)
avg_reward 0.10332996609403969 loss tensor(0.0968, grad_fn=<MeanBackward0>)
avg_reward -0.02339182347390724 loss tensor(0.0817, grad_fn=<MeanBackward0>)
avg_reward 0.042679920954080755 loss tensor(0.0909, grad_fn=<MeanBackward0>)
avg_reward 0.09251058292609776 loss tensor(0.0638, grad_fn=<MeanBackward0>)
avg_reward -0.16448422699138157 loss tensor(0.0750, grad_fn=<MeanBackward0>)
avg_reward 0.14965950883246695 loss tensor(0.0677, grad_fn=<MeanBackward0>)
avg_reward -0.0350830636132768 loss tensor(0.1120, grad_fn=<MeanBackward0>)
avg_reward 0.3862493717295578 loss tensor(0.0751, grad_fn=<MeanBackward0>)
avg_reward -0.1446145631498284 loss tensor(0.0731, grad_fn=<MeanBackward0>)
avg_reward -0.3678981491637882 loss tensor(0.0985, grad_fn=<MeanBackward0>)
avg_reward -0.055998744075929786 loss tensor(0.0685, grad_fn=<MeanBackward0>)
avg_reward -0.37462784590504616 loss tensor(0.0880, grad_fn=<MeanBackward0>)
avg_reward -0.016054249939320805 loss tensor(0.0954, grad_fn=<MeanBackward0>)
avg_reward -0.08932982873100513 loss tensor(0.0962, grad_fn=<MeanBackward0>)
avg_reward 0.3465786517036744 loss tensor(0.0616, grad_fn=<MeanBackward0>)
avg_reward -0.021285903775941074 loss tensor(0.1281, grad_fn=<MeanBackward0>)
avg_reward 0.09154715410371433 loss tensor(0.0780, grad_fn=<MeanBackward0>)
avg_reward -0.3384792206563864 loss tensor(0.0669, grad_fn=<MeanBackward0>)
avg_reward -0.19012399010732164 loss tensor(0.0767, grad_fn=<MeanBackward0>)
avg_reward -0.08133245876451213 loss tensor(0.0650, grad_fn=<MeanBackward0>)
avg_reward 0.040318917873378275 loss tensor(0.0702, grad_fn=<MeanBackward0>)
avg_reward 0.2908607036172493 loss tensor(0.0817, grad_fn=<MeanBackward0>)
avg_reward 0.2554648069561821 loss tensor(0.0703, grad_fn=<MeanBackward0>)
